基金,地点,净资产,分类
腾讯公益慈善基金会,广东,72251,企业基金会
陕西宏府慈善基金会,陕西,359,企业基金会
深圳市郑卫宁慈善基金会,广东,580,企业基金会
黄奕聪慈善基金会,上海,2034,企业基金会
北京蔚蓝公益基金会,北京,200,企业基金会
安利公益基金会,北京,6497,企业基金会
阿里巴巴公益基金会,浙江,5031,企业基金会
中远海运慈善基金会,北京,40016,企业基金会
福建省正荣公益基金会,福建,629,企业基金会
顺丰公益基金会,广东,3084,企业基金会
北京桥爱慈善基金会,北京,398,企业基金会
浙江正泰公益基金会,浙江,6783,企业基金会
广东省丹姿慈善基金会,广东,249,企业基金会
爱慕公益基金会,北京,3669,企业基金会
南京柯菲平公益基金会,江苏,395,企业基金会
北京宏信公益基金会,北京,645,企业基金会
苏州明基友达公益基金会,江苏,404,企业基金会
北京光彩公益基金会,北京,4584,企业基金会
上海至美公益基金会,上海,894,企业基金会
华润慈善基金会,广东,10147,企业基金会
北京诚栋公益基金会,北京,302,企业基金会
北京光华慈善基金会,北京,288,企业基金会
福建省兴业慈善基金会,福建,4791,企业基金会
桃源居公益事业发展基金会,广东,10469,企业基金会
山西省葵花公益基金会,山西,373,企业基金会
爱佑慈善基金会,北京,30952,非学校
华民慈善基金会,北京,3396,非学校
桃源居公益事业发展基金会,广东,10469,非学校
吴作人国际美术基金会,北京,1378,非学校
友成企业家扶贫基金会,北京,19469,非学校
江苏陶欣伯助学基金会,江苏,104735,非学校
智善公益基金会,北京,10283,非学校
北京宏信公益基金会,北京,645,非学校
北京彩虹桥慈善基金会,北京,211,非学校
浙江省体育基金会,浙江,1858,非学校
广东省绿芽乡村妇女发展,广东,651,非学校
重庆市儿童医疗救助基金会,重庆,1723,非学校
广东省爱飞客公益基金会,广东,200,非学校
白求恩公益基金会,北京,5000,非学校
北京市银杏公益基金会,北京,855,非学校
北京诚栋公益基金会,北京,302,非学校
河北省孝行慈善基金会,河北,246,非学校
北京同有三和中医药发展,北京,200,非学校
贵州省遵义市知行助学基,贵州,201,非学校
北京立德未来助学公益基,北京,375,非学校
北京天使妈妈慈善基金会,北京,1194,非学校
海南省残疾人基金会,海南,2024,非学校
百色市教育基金会,广西,5124,非学校
广东省和的慈善基金会,广东,23815,非学校
北京市慈善基金会,北京,3712,非学校
福建省正荣公益基金会,福建,629,胡润财富榜TOP200企业家
阿里巴巴公益基金会,浙江,5031,胡润财富榜TOP200企业家
腾讯公益慈善基金会,广东,72251,胡润财富榜TOP200企业家
广东省和的慈善基金会,广东,23815,胡润财富榜TOP200企业家
广东省与人公益基金会,广东,1938,胡润财富榜TOP200企业家
北京三一公益基金会,北京,513,胡润财富榜TOP200企业家
浙江马云公益基金会,浙江,10305,胡润财富榜TOP200企业家
北京巧女公益基金会,北京,504,胡润财富榜TOP200企业家
泛海公益基金会,北京,20015,胡润财富榜TOP200企业家
北京市搜候中国城市文化,北京,11219,胡润财富榜TOP200企业家
浙江海亮慈善基金会,浙江,8860,胡润财富榜TOP200企业家
浙江省李书福资助教育基,浙江,3324,胡润财富榜TOP200企业家
北京紫檀文化基金会,北京,440,胡润财富榜TOP200企业家
北京华彬文化基金会,北京,22426,胡润财富榜TOP200企业家
浙江省网易慈善基金会,浙江,1001,胡润财富榜TOP200企业家
浙江省娃哈哈慈善基金会,浙江,203,胡润财富榜TOP200企业家
北京百度公益基金会,北京,2187,胡润财富榜TOP200企业家
北京银泰公益基金会,北京,1143,胡润财富榜TOP200企业家
浙江华策影视育才教育基,浙江,57,胡润财富榜TOP200企业家
北京京东公益基金会,北京,322,胡润财富榜TOP200企业家
亿利公益基金会,北京,2135,胡润财富榜TOP200企业家
香江社会救助基金会,广东,10662,胡润财富榜TOP200企业家
上海东方希望公益基金会,上海,608,胡润财富榜TOP200企业家
福建省发树慈善基金会,福建,33386,胡润财富榜TOP200企业家
江苏恒力慈善基金会,江苏,945,胡润财富榜TOP200企业家
中国扶贫基金会,北京,105728,联合国经社理事会咨商地位
中华环境保护基金会,北京,13941,联合国经社理事会咨商地位
爱德基金会,江苏,37434,联合国经社理事会咨商地位
中国绿化基金会,北京,21950,联合国经社理事会咨商地位
中国宋庆龄基金会,北京,37066,联合国经社理事会咨商地位
宁波鄞州银行公益基金会,浙江,11233,银行
北京中金公益基金会,北京,514,银行
闽都中小银行教育发展基,福建,10098,银行
上海浦发公益基金会,上海,2933,银行
浙江泰隆慈善基金会,浙江,110,银行
包商银行公益基金会,北京,5203,银行
宁夏黄河银行助学基金会,宁夏,2115,银行
广州农商银行太阳公益基,广东,10677,银行
温州鹿城农商银行富民公,浙江,216,银行
宁波市余姚农村合作银行,浙江,695,银行
北京民生中国书法公益基,北京,9757,银行
石嘴山银行“爱心”基金会,宁夏,7213,银行
