index,foundation,project,field,location
0,深圳壹基金公益基金会,公益人才培养项目,公益行业发展,北京市海淀区，广东省深圳市
1,厦门观音寺慈善基金会,医疗-2012,医疗救助,福建省厦门市
2,浙江敦和慈善基金会,成都城市河流研究会长江上游清流计划,公益行业发展,天津市宁河区，天津市宁河区
3,青岛市天泰公益基金会,捐助“青岛即墨爱之家弱智儿童救助站”项目。,扶贫助困,山东省青岛市即墨市
4,福建农林大学教育发展基金会,软件学院2013届毕业生双困助学金,教育,福建省福州市仓山区
5,福建农林大学教育发展基金会,2013届双困毕业生就业援助金,教育,福建省
6,福建农林大学教育发展基金会,2012年里昂助学金,教育,福建省
7,福建农林大学教育发展基金会,庄卫汉奖学金,教育,福建省
8,福建农林大学教育发展基金会,2012年圣农助学金,教育,福建省
9,北海天宁慈善基金会,捐助希望高中,教育,广西壮族自治区北海市
10,北海天宁慈善基金会,救助四川地震灾区,安全救灾,四川省
11,北海天宁慈善基金会,给美丽文本清洁乡村捐助活动费,环境,广西壮族自治区
12,北海天宁慈善基金会,建地藏殿,公共服务，文化,广西壮族自治区北海市
13,北海天宁慈善基金会,资助藏校贫困学生,教育,广西壮族自治区
14,福建省扶贫基金会,乡镇广播室.,文化,福建省
15,福建省扶贫基金会,贫困生助学.修建教学楼,教育,福建省
16,福建省扶贫基金会,新农村建设项目,三农,福建省
17,福建省扶贫基金会,农民技术培训费及义诊,三农,福建省
18,福建省扶贫基金会,综合项目,扶贫助困,福建省
19,广西妇女儿童发展基金会,“春蕾计划”项目,教育,广西壮族自治区
20,广西妇女儿童发展基金会,“母亲邮包”项目,扶贫助困,广西壮族自治区
21,广西妇女儿童发展基金会,“母亲水窖”项目,三农,广西壮族自治区
22,广西妇女儿童发展基金会,“贫困母亲两癌”救助项目,医疗救助,广西壮族自治区百色市隆林各族自治县
23,广西妇女儿童发展基金会,“单亲贫困母亲”关爱行动,扶贫助困，教育,广西壮族自治区河池市环江毛南族自治县
24,广西国海扶贫助学基金会,扶贫助学-广西国海2013,教育,广西壮族自治区
25,广西国海扶贫助学基金会,爱心驿站助学金,教育,广西壮族自治区来宾市忻城县
26,宁夏回族自治区关心下一代基金会,“爱心圆梦”项目,教育,宁夏回族自治区
27,宁夏回族自治区关心下一代基金会,”捐资助学”活动,教育,宁夏回族自治区
28,宁夏回族自治区关心下一代基金会,“捐赠图书”活动,教育,宁夏回族自治区银川市
29,福建省龙岩扶贫基金会,定点扶贫挂钩7个村,扶贫助困,福建省龙岩市新罗区，福建省龙岩市武平县，福建省龙岩市上杭县，福建省龙岩市连城县
30,福建省龙岩扶贫基金会,特色产业扶贫支出（11个项目）,三农,福建省龙岩市新罗区，福建省龙岩市武平县，福建省龙岩市上杭县，福建省龙岩市连城县，福建省龙岩市漳平市
31,福建省龙岩扶贫基金会,奖教助学,教育,福建省龙岩市上杭县，福建省龙岩市长汀县，福建省龙岩市武平县，福建省龙岩市连城县
32,福建省石竹慈善基金会,捐资修建教学楼,教育,福建省南平市，福建省三明市永安市，福建省泉州市安溪县，福建省宁德市霞浦县，福建省宁德市福安市
33,广西李宁基金会,捐赠广西金秀县十万棵爱心茶树苗,社区发展,广西壮族自治区来宾市金秀瑶族自治县
34,广西李宁基金会,捐助来宾市家庭困难高中生项目,教育,广西壮族自治区来宾市市辖区
35,广西李宁基金会,捐助来宾李宁奖学金,教育,广西壮族自治区来宾市
36,广西李宁基金会,捐助融水李宁奖学金,教育,广西壮族自治区柳州市融水苗族自治县
37,广西李宁基金会,来宾市春节慰问困难群众,扶贫助困,广西壮族自治区来宾市
38,广西李宁基金会,融水县困难群众春节慰问金,扶贫助困,广西壮族自治区柳州市融水苗族自治县
39,广西李宁基金会,2013年李宁论文奖学金,教育，科学研究,广西壮族自治区
40,广西吕贻标爱心基金会,资助融水县老党员盘云正,扶贫助困,广西壮族自治区
