,基金会名称,其他费用,净资产,费用合计
0,北海天宁慈善基金会,0.0,1918713.43,222537.5
1,福建农林大学教育发展基金会,0.0,16860855.22,1446926.25
2,福建省扶贫基金会,0.0,10492113.24,6273202.78
3,广西妇女儿童发展基金会,0.0,6614637.1,2772101.38
4,广西国海扶贫助学基金会,380.0,3040782.94,77711.87
5,宁夏回族自治区关心下一代基金会,0.0,4830445.16,784122.59
6,福建省龙岩扶贫基金会,0.0,9574226.36,950938.0
7,福建省石竹慈善基金会,0.0,3702224.32,11223626.9
8,广西李宁基金会,0.0,5068391.16,3275125.92
9,广西吕贻标爱心基金会,31157.64,10123472.92,281391.62
10,广西民族大学教育基金会,0.0,5094234.73,114435611.6
11,福州大学教育发展基金会,0.0,29544022.31,9157828.5
12,林则徐基金会,0.0,6156953.17,2267460.07
13,广西壹方慈善基金会,61.25,2460049.74,1193529.38
14,厦门中山医院基金会,0.0,12545279.51,1641571.81
15,福建省正荣公益基金会,0.0,3025074.24,11050642.92
16,湖南飞翔公益基金会,0.0,17464048.04,1503086.0
17,湖南青年创业就业基金会,0.0,19196444.01,12906360.05
18,湖南省扶贫基金会,0.0,1672702.41,2940291.04
19,湖南省湖湘文化基金会,0.0,3130129.26,599898.0
20,河南省福兴儿童公益基金会,0.0,2073008.06,479946.04
21,河北省佛教慈善基金会,0.0,7789115.6,3744321.29
22,阿里巴巴公益基金会,0.0,50996108.68,14411586.51
23,安利公益基金会,0.0,84141460.59,74634849.94
24,北京大学教育基金会,211678.6,2990371519.0,176463676.1
25,北京科技大学教育发展基金会,0.0,40659756.03,4219617.52
26,比亚迪慈善基金会,0.0,22481733.06,6714951.82
27,传媒大学教育基金会,0.0,39181998.17,6444775.58
28,顶新公益基金会,0.0,28272221.23,18592255.09
29,海仓慈善基金会,0.0,50019514.46,4154778.1
30,河南大学教育发展基金会,0.0,37346611.1,6497646.02
31,凯风公益基金会,0.0,50191622.11,4731516.55
32,兰州大学教育发展基金会,0.0,25482610.29,1724873.68
33,鲁迅文化基金会,0.0,29301617.43,5900363.55
34,湖南省老龄事业发展基金会,0.0,4684989.81,642822.2
35,山西省创业就业基金会,25000.0,12353989.52,164436.4
36,湖南省宁乡一中教育基金会,0.0,8838001.13,707809.11
37,山西省妇女儿童发展基金会,0.0,10840931.53,256695.16
38,湖南省青少年发展基金会,53228.0,58063024.45,58358730.89
39,南航“十分”关爱基金会,0.0,27364896.4,7488594.5
40,桃源居公益事业发展基金会,0.0,104478586.7,17222135.46
41,腾讯公益慈善基金会,0.0,229400163.2,115918886.2
42,香江社会救助基金会,100925.16,31762159.45,7562326.32
43,亿利公益基金会,0.0,20355904.32,8822905.2
44,永恒慈善基金会,180.0,20123595.17,1164180.0
45,友成企业家扶贫基金会,13151.0,181437001.3,34326186.22
46,常熟理工学院教育发展基金会,66.0,26905909.08,25695407.2
47,增爱公益基金会,0.0,114216778.5,11245464.49
48,常州工程职业技术学院教育发展基金会,0.0,15815690.42,3467660.5
49,招商局慈善基金会,0.0,55490430.59,45817342.94
50,东台市阳光助残基金会,7075.2,5343956.36,1409838.62
51,浙江大学教育基金会,0.0,1192803368.0,154091286.8
52,海门文明村爱心基金会,0.0,2664534.94,439664.5
53,淮阴工学院教育发展基金会,0.0,20140796.07,1290104.9
54,爱佑慈善基金会,0.0,175138019.0,110755775.4
55,中国发展研究基金会,887361.69,207104301.1,56400082.6
56,中国法律援助基金会,0.0,160684997.2,131519506.8
57,江苏宏大青少年人才发展基金会,118859.61,7940673.98,880319.63
58,江苏宏德文化出版基金会,0.0,1154885.61,755478.42
59,江苏华夏慈善基金会,0.0,2166309.18,195463.71
60,中国扶贫基金会,8446.73,697313430.6,333748970.3
61,中国妇女发展基金会,0.0,427384240.0,402617350.8
62,江苏七彩凤凰母语发展基金会,0.0,2898939.78,265039.21
63,江苏沙钢公益基金会,7496.0,14050248.18,1222686.0
64,江苏省儿童少年福利基金会,40988.1,25091030.57,14280042.91
65,江苏省扶贫基金会,0.0,25973464.35,1201980.96
66,中国关心下一代健康体育基金会,3632.84,10326859.47,6135215.46
67,江苏省青少年发展基金会,0.0,0.0,10111364.5
68,中国光华科技基金会,0.0,691931289.6,530668057.4
69,江苏元林慈善基金会,0.0,319519998.5,191950514.5
70,江苏中大公益基金会,0.0,50606439.89,2592745.17
71,中国国际文化交流基金会,276.0,53574424.59,11794861.9
72,中国海油海洋环境与生态保护公益基金会,2346071.17,526139216.5,62440426.97
73,中国华侨公益基金会,0.0,105610594.1,45824226.95
74,中国华文教育基金会,0.0,73079248.12,45883633.23
75,中国健康促进基金会,764.83,55900390.4,45934368.64
76,昆山市党员关爱暨帮扶困难群众基金会,108077.5,108553726.2,12209774.15
77,中国禁毒基金会,0.0,99239917.95,12305872.18
78,中国经济改革研究基金会,10000.0,30191704.1,5960974.82
79,刘天华阿炳中国民族音乐基金会,0.0,18148464.6,2030574.84
80,中国绿化基金会,0.0,201117640.2,135516327.6
81,南京大学教育发展基金会,0.0,821386557.8,83994342.09
82,南京工业大学教育发展基金会,0.0,88223854.4,71038120.6
83,成都市老龄事业发展基金会,0.0,7011008.89,1419963.3
84,中国绿色碳汇基金会,0.0,174655004.3,110878266.3
85,中国农业大学教育基金会,0.0,50666315.43,13692478.24
86,南京新城市慈善基金会,0.0,1885984.81,1768042.01
87,南京信息大学教育发展基金会,0.0,192175598.2,65278660.5
88,北京百度公益基金会,0.0,21131190.91,21146412.3
89,北京工业大学教育基金会,0.0,7114333.77,1073851.64
90,南通市老区扶贫基金会,0.0,38320420.09,4263712.61
91,北京光华慈善基金会,0.0,3241239.25,3879107.88
92,中国少数民族文化艺术基金会,5159.05,9917431.36,11171026.6
93,北京节能与电力技术开发基金会,0.0,8316370.68,285276.54
94,苏州和合文化基金会,0.0,3726729.8,714305.15
95,北京绿化基金会,153456.0,11235310.26,5731132.81
96,北京青少年发展基金会,0.0,77656274.53,37127022.32
97,四川成都蓝光助学基金会,3186.0,3032226.52,3423606.66
98,四川电子科技大学教育发展基金会,0.0,63356947.72,28990278.97
99,广西荣和爱心基金会,0.0,6558748.74,941000.0
100,北京市仁爱慈善基金会,0.0,5776819.77,2470570.58
101,北京市搜候中国城市文化基金会,0.0,6642082.59,10583153.03
102,北京市戏曲艺术发展基金会,324895.67,86445024.88,7889156.02
103,北京市中国人民大学教育基金会,0.0,481571654.9,94469531.93
104,盐城市扶贫基金会,0.0,2080700.93,26075.11
105,中国志愿服务基金会,0.0,108168371.7,78829221.7
106,北京万通公益基金会,0.0,3574554.62,2506979.78
107,北京文化发展基金会,0.0,16672106.99,7806926.27
108,扬州市翔宇妇女儿童基金会,72712.0,3303522.12,672597.8
109,中华健康快车基金会,16721.8,70799081.84,23041880.04
110,张家港市农联爱心基金会,0.0,3117684.59,230300.0
111,张家港市七里庙村利民基金会,0.0,3575202.16,790306.75
112,贵州省春晖行动发展基金会,0.0,5431095.65,4683252.59
113,四川省国电大渡河爱心帮扶基金会,1831.1,24107123.98,10699163.9
114,贵州省妇女儿童发展基金会,0.0,18526272.27,17310433.61
115,中华社会文化发展基金会,1668.34,26165099.33,19118188.05
116,贵州省贵阳市生态文明基金会,0.0,43356904.14,1665445.71
117,四川省青年创业就业基金会,1944.5,13725222.2,7364257.06
118,贵州省青年创业就业基金会,0.0,5370029.21,2809769.93
119,中远海运慈善基金会,2511497.62,368287386.9,36367555.76
120,贵州省同心光彩事业基金会,30439.92,4166092.33,4206785.39
121,江苏国信企业发展研究基金会,0.0,29955130.01,62236.96
122,常州宝林慈善基金会,0.0,2925593.03,80125.5
123,苏州明德公益基金会,-5173.12,3102677.32,101595.68
124,贵州文化薪火乡村发展基金会,0.0,2169146.75,5091486.17
125,河北省红十字基金会,0.0,15757098.82,14058835.96
126,河北省青年就业创业基金会,0.0,4974102.54,5435170.3
127,四川省体育基金会,0.0,20877057.13,7359968.2
128,四川省志愿服务基金会,0.0,19851502.73,4805576.53
129,四川桃花源生态保护基金会,3952.43,65712055.32,6198296.06
130,河北石家庄二中教育发展基金会,0.0,2311086.27,553940.5
131,资阳市关心下一代基金会,0.0,5121154.44,1599679.1
132,雅安市关心下一代基金会,0.0,8920690.62,1342574.26
133,石家庄市志愿服务基金会,60.0,7721913.36,851580.41
134,攀枝花市关心下一代基金会,0.0,4590938.53,209722.9
135,绵阳市关心下一代基金会,0.0,4627546.02,0.0
136,重庆大学教育发展基金会,0.0,125216020.6,63998793.53
137,遂宁市关心下一代基金会,0.0,5646150.61,0.0
138,宁夏回族自治区扶贫基金会,0.0,1326683.67,3009481.45
139,西昌市关心下一代基金会,0.0,5203923.19,0.0
140,凉山州关心下一代基金会,0.0,5359572.13,0.0
141,周培源基金会,0.0,13078854.42,1100351.96
142,泸州市关心下一代基金会,0.0,6484552.65,10000.0
143,安徽韩再芬黄梅艺术基金会,0.0,16785360.06,1540976.46
144,宁夏麦丽燕基金会,0.0,5140624.41,835151.53
145,宁夏煤炭职工扶贫济困基金会,0.0,6735898.22,9208917.08
146,安徽省儿童少年基金会,0.0,5933484.8,3003535.74
147,阿拉善生态基金会,0.0,20128869.8,4557167.36
148,河南省光彩事业基金会,0.0,44711482.64,126221164.8
149,包头市扶贫基金会,0.0,4643515.66,2064503.6
150,安徽省中小学幼儿教师奖励基金会,0.0,8770076.47,573129.5
151,河南省华夏历史文明传承创新基金会,0.0,5502551.07,504805.5
152,芜湖市爱心助学基金会,50345.35,12619304.19,957349.35
153,杭州市关爱孤儿基金会,295.33,2609407.0,694602.05
154,呼伦贝尔市扶贫基金会,0.0,4146954.0,1125325.0
155,河南省宋庆龄基金会,27787.16,2227906847.0,832087522.1
156,科左后旗扶贫助学基金会,0.0,2205302.25,284601.4
157,老牛基金会,0.0,711426115.3,183406033.8
158,哈尔滨市老年基金会,0.0,10199996.0,3025479.0
159,黑龙江大学教育发展基金会,0.0,3981365.41,3847723.13
160,内蒙古青年创业就业基金会,2484.0,6039600.07,2237798.92
161,黑龙江省妇女儿童基金会,2093.98,5178581.09,6234210.53
162,黑龙江省华侨经济文化基金会,0.0,621698.36,73835.89
163,内蒙古乌拉特后旗盛安爱心济困基金会,0.0,2036614.07,188299.96
164,黑龙江省青年创业就业基金会,46.99,6369850.37,2671797.74
165,黑龙江省体育发展基金会,0.0,2002300.01,244648.0
166,内蒙古云曙碧公益事业基金会,298.5,14653184.49,9634788.68
167,湖北工业大学教育发展基金会,35.5,15117693.62,1204582.1
168,湖北省体育基金会,0.0,3222225.02,472861.22
169,吉林大学教育基金会,740.12,67619278.97,9460875.63
170,大连市妇女儿童发展基金会,0.0,8333550.42,3966768.08
171,杭州市余杭区老年基金会,929.0,13555479.84,878739.34
172,辽宁爱之光防盲基金会,0.0,11902061.79,4833062.65
173,中华环境保护基金会,0.0,139589397.4,46347181.76
174,辽宁省妇女儿童基金会,0.0,10930690.15,1152478.7
