name,jingzichan_x,zhichu_x,shouru_x,feiyong_x
万科公益基金会,409616414,0.169820619,0.356805426,0.169820619
上海乐三兰馨教育发展基金会,2001179.4,0.998821295,0.999410648,0.998821295
上海交响乐团文化发展基金会,213388002.6,0.070708466,0.216699891,0.070708466
上海交通大学教育发展基金会,2473122842,0.168963573,0.339458205,0.168963573
上海仁德基金会,19465069.3,0.433302609,0.580440159,0.433302609
上海医学创新发展基金会,11568857.36,3.48456374,3.736303975,3.543034057
上海华信公益基金会,98996904.14,0.505924165,0.744074129,0.505924165
上海叔同深渊科学技术发展基金会,4714695.76,0.200213892,0.781568786,0.205774313
上海唐君远教育基金会,572754013.7,0.104479827,0.12993351,0.104479827
上海夏征农民族文化教育发展基金会,8772276.26,1.884200371,1.834374027,1.884200371
上海大学教育发展基金会,12910920.92,0.083375532,0.741567007,0.083377894
上海宋庆龄基金会,1627029244,0.080501287,0.127833071,0.080501287
上海工商界爱国建设特种基金会,614412220.5,0.036393522,0.052934407,0.036393522
上海市儿童基金会,89590136.89,0.230512659,0.429335742,0.230512659
上海市华侨事业发展基金会,35176361.85,1.23546716,1.552701651,1.258017279
上海市拥军优属基金会,2114934141,0.071215723,0.16570953,0.071215723
上海市防癌抗癌事业发展基金会,26410498.3,0.065988463,0.073489356,0.055474257
上海市青少年发展基金会,413938405.8,0.148859785,0.475177699,0.148859785
上海思麦公益基金会,6995711.19,0.554092051,0.664758405,0.554411531
上海恩德公益基金会,16053483.91,0.130047229,0.269651628,0.129053643
上海慈慧公益基金会,38699073.22,0.679110699,0.958751335,0.679110712
上海明德公益基金会,5883190.33,0.182633622,0.204526421,0.160920808
上海民建扶帮公益基金会,47355586.05,0.276976107,0.414618364,0.277131939
上海民生艺术基金会,2492138097,0.095587003,0.228806465,0.095586685
上海汤臣慈善基金会,8763732.36,0.146656453,0.325905538,0.147484867
上海海事大学教育发展基金会,19042239.06,0.159979302,0.492112026,0.159979302
上海特殊关爱基金会,38594993.87,0.26885057,0.298904537,0.26885057
上海王正国创伤医学发展基金会,4138008.35,0.676843789,1.193519486,0.676843789
上海瑞华慈善基金会,23975989.09,0.12036826,1.036825225,0.12036826
上海科技大学教育发展基金会,27225169.55,0.030123782,0.662816611,0.030123782
上海联劝公益基金会,74556666.55,1.180103862,1.466294265,1.180103862
上海联和新泰战略研究与发展基金会,385774548.7,0.045624334,0.271655177,0.031936739
上海能近公益基金会,9490732.4,0.211057063,0.316099874,0.211057063
上海至美公益基金会,18941900.9,0.057365705,0.529435586,0.057365705
上海荣昶公益基金会,40081171.09,0.075623027,0.579204646,0.075623027
上海觉群文教基金会,18022768.83,0.216426119,1.216426119,0.216426119
上海诺亚公益基金会,29593189.55,0.16420048,0.660215223,0.16420048
东台市阳光助残基金会,15858105.71,0.643506323,0.658684357,0.643506323
东润公益基金会,46819905.95,0.07782448,0.009902642,0.07782448
东莞市东莞理工学院教育发展基金会,215774772.7,0.058948281,0.088016517,0.059144185
东风公益基金会,170028911.5,0.354254296,0.394017671,0.377816642
中兴通讯公益基金会,150045897.3,0.087242197,0.421026496,0.087242197
中华健康快车基金会,202426460.2,0.476328151,0.60653151,0.454846099
中华国际科学交流基金会,25236565.27,1.151645788,1.198361042,1.151645788
中华少年儿童慈善救助基金会,325770957.4,0.973730265,1.150258473,0.971276429
中华思源工程扶贫基金会,480053186.6,0.938534443,1.04703619,0.935269402
中华环境保护基金会,427454742.6,0.465502223,0.507280413,0.465785378
中华社会救助基金会,184626656,0.958650706,1.414174974,0.943938826
中华社会文化发展基金会,104009199.3,0.605203547,0.794832777,0.605203547
中南大学教育基金会,750538164.2,0.083238714,0.292427007,0.083255381
中南财经政法大学教育发展基金会,62931666.35,0.103035627,0.158397521,0.103035627
中国交响乐发展基金会,17737984.19,0.692430681,0.461219475,0.656540104
中国人寿慈善基金会,396873292.1,0.264185963,0.296172714,0.264185963
中国健康促进基金会,242868043.9,0.989002663,1.254486453,0.988652142
中国儿童少年基金会,1399020932,0.720396631,0.77892141,0.720396631
中国光华科技基金会,2097291119,0.913765547,0.949502668,0.913765547
中国光彩事业基金会,819316533.4,0.526140298,0.59290417,0.526140298
中国关心下一代健康体育基金会,31013738.99,0.605499374,0.572324472,0.605678054
中国农业大学教育基金会,194727369.1,0.231143916,0.46284595,0.231143916
中国初级卫生保健基金会,456707944.6,1.913065392,2.573503354,1.913065392
中国医药卫生事业发展基金会,286028793.8,0.263153449,0.130747959,0.263153449
中国华侨公益基金会,330711087.4,0.637581503,0.733233288,0.637581503
中国华夏文化遗产基金会,78462694.38,0.293227027,0.397799778,0.286393589
中国华文教育基金会,207662655.5,0.657550585,0.651609423,0.658420676
中国发展研究基金会,696287646.2,0.272557641,0.371057479,0.268705515
中国古生物化石保护基金会,45086566.8,0.5049163,0.415688493,0.492422965
中国听力医学发展基金会,38125341.55,0.4416675,0.384294429,0.437345834
中国国际文化交流基金会,148598139.3,0.371201246,0.34207161,0.373098737
中国地质大学（武汉）教育发展基金会,128668580.5,0.103448671,0.117020609,0.103448671
中国妇女发展基金会,1204831636,1.195569784,1.213249527,1.195569784
中国宋庆龄基金会,992528130.5,0.350159879,0.39428938,0.510191867
中国少年儿童文化艺术基金会,52172494.48,0.479361249,0.75857306,0.479389856
中国少数民族文化艺术基金会,30940249.98,1.494911048,1.5265724,1.495116723
中国志愿服务基金会,286459517.1,0.405466879,0.37432952,0.405466879
中国扶贫基金会,2673924005,0.442736409,0.65440969,0.440335938
中国教师发展基金会,132751735.7,0.498655434,0.47363873,0.498655434
中国教育发展基金会,1266919077,3.191012251,2.60782277,3.191012251
中国残疾人福利基金会,2407568458,0.510478329,0.534328862,0.508434943
中国民航科普基金会,171069155.3,0.146263963,0.153789744,0.146263963
中国法律援助基金会,472664294.7,0.839047664,0.613245688,0.835683612
中国海油海洋环境与生态保护公益基金会,1631706279,0.166045521,0.201986588,0.166045521
中国留学人才发展基金会,97522139.48,1.392969521,1.363797368,1.3941838
中国癌症基金会,1927641474,3.249890098,3.542282981,3.249000013
中国社会福利基金会,710490340.7,0.808332292,1.019552888,0.796604724
中国禁毒基金会,326317347.4,0.145590731,0.239942623,0.145590731
中国科学技术大学教育基金会,740301556.4,0.05279702,0.17993762,0.085981656
中国移动慈善基金会,303027283.8,0.379333486,0.373149411,0.379333486
中国红十字基金会,1505831271,0.602942796,0.574340682,0.603160713
中国经济改革研究基金会,121678935.4,0.128111099,0.283069221,0.127982255
中国绿化基金会,631388234.8,0.379466134,0.387455894,0.378781722
中国绿色碳汇基金会,514194047.2,0.604718906,0.566777611,0.604312244
中国老龄事业发展基金会,426193837.7,0.414637505,0.609694654,0.414742432
中国艺术节基金会,11132705.39,1.036455237,1.14327771,1.000066051
中国金融教育发展基金会,212411633.7,0.37029954,0.606763522,0.367287553
中国青少年发展基金会,3158271553,0.405800825,0.576894302,0.404047166
中国马克思主义研究基金会,167596777.1,0.110877836,0.120612722,0.110032914
中天爱心慈善基金会,39935803.71,0.265683337,1.265683337,0.265683337
中央财经大学教育基金会,451964122.4,0.071872571,0.22515313,0.071872571
中远海运慈善基金会,1150652705,0.088157714,0.14921995,0.088157714
云南华商公益基金会,14701490.24,1.017165695,0.997757891,1.016159239
云南君仁博爱基金会,5950344.96,0.14613583,0.415935886,0.144124318
云南大益爱心基金会,278918722.4,0.071496126,0.290327768,0.071496126
云南教育基金会,104747030.3,0.402136471,0.469436013,0.403028143
云南民族文化发展基金会,24994981.6,0.445405409,0.346350026,0.445014145
云南省俊发教育扶贫基金会,10912313.02,1.086731826,1.136981927,1.086645332
云南省关心下一代基金会,21814382.48,0.079305349,0.169095946,0.116880298
云南省妇女儿童发展基金会,33963273.84,0.362093677,0.503121462,0.362093677
云南省扶贫基金会,63580077.31,0.411392021,0.5859401,0.411392021
云南省绿色环境发展基金会,24919730.36,0.7325538,0.782971263,0.736283521
云南省青年创业就业基金会,24845206.68,0.363470515,0.435697658,0.363470515
人保慈善基金会,210508451.1,0.285750624,0.257604582,0.285750624
亿利公益基金会,65952181.06,0.272452474,0.336315238,0.272452474
传媒大学教育基金会,164615246.7,0.167690855,0.378265277,0.167690855
兰州大学教育发展基金会,90705102.66,0.142738537,0.308212033,0.142738537
内蒙古乌拉特后旗盛安爱心济困基金会,6173293.17,0.156963347,0.165560192,0.159934203
内蒙古云曙碧公益事业基金会,68276585,0.290130967,0.373331873,0.29271674
内蒙古光彩事业基金会,7001773.33,-0.000253269,0.999746731,-0.000253269
内蒙古民族青年文化艺术基金会,3184308.85,0.560930231,1.373301808,0.560930231
内蒙古自治区儿童基金会,3641310.86,0.350569462,0.313589651,0.350569462
内蒙古青年创业就业基金会,13719778.84,0.214993934,0.314472949,0.215513038
凉山州关心下一代基金会,27727186.86,0.246052819,0.503790536,0.246052819
凯风公益基金会,157557762,0.205535361,0.440541895,0.205542811
刘天华阿炳中国民族音乐基金会,54702236.33,0.132397221,0.119937332,0.132714223
包头市扶贫基金会,17490441.46,0.265827754,0.392508751,0.265843191
北京万通公益基金会,8198696.31,1.010570159,0.865274332,1.010570159
北京三一公益基金会,10429859.32,0.648274954,0.660777222,0.648274954
北京世纪慈善基金会,29693176.41,0.681484064,0.501878765,0.673850715
