基金会名称,业务活动成本,公益事业支出,其他支出,其他收入,其他费用,净资产,境内捐赠,境外捐赠,工资福利支出,总支出,总收入,投资收益,捐赠收入,政府补助收入,服务收入,法人捐赠,筹资费用,管理费用,自然人捐赠,行政办公支出,费用合计
万科公益基金会,24804797.345,24804797.345,-702298.764,1759892.0,-702298.764,149814574.28,55641708.03,0.0,0.0,24125412.381,62790980.568,5389380.548,55641708.03,0.0,0.0,49440981.742,0.0,22913.8,6200726.288,22913.8,24125412.381
上海乐三兰馨教育发展基金会,1000000.0,1000000.0,-777.4,0.0,0.0,600589.7,0.0,0.0,0.0,999410.3,600000.0,0.0,600000.0,0.0,0.0,0.0,-777.4,187.7,0.0,187.7,999410.3
上海交响乐团文化发展基金会,5078085.36,5078085.36,0.0,225717.9,0.0,74093254.576,10745720.0,0.0,63480.29,5245564.765,16233074.743,3406575.343,12600781.5,0.0,0.0,10745720.0,0.0,167479.405,0.0,103999.115,5245564.765
上海交通大学教育发展基金会,167509478.635,167509478.635,2032287.328,994525.128,0.0,870950479.03,157636680.14,33636167.258,0.0,169542965.963,319513407.39,127246034.896,191272847.38,0.0,0.0,158709110.56,635.074,2032852.254,32563736.835,1200.0,169542965.963
上海仁德基金会,2457864.892,2457864.892,131391.16,5791.943,3701.498,6676173.271,3614012.939,0.0,169187.462,2830390.058,3853591.044,219786.162,3614012.939,14000.0,0.0,3017828.734,127689.662,241134.006,596184.205,71946.544,2830390.058
上海医学创新发展基金会,13676437.069,3627172.524,10018905.777,34460.457,32741.394,4185371.041,6090954.8,0.0,141483.76,13905440.267,14762567.143,0.0,6090954.8,0.0,8637151.886,6090954.8,1069.783,533409.401,0.0,117878.206,14243657.647
上海华信公益基金会,14494610.013,14494610.013,18278.604,794641.674,13080.51,33409940.58,20013969.799,0.0,970701.313,15698041.976,21040124.901,231513.428,20013969.799,0.0,0.0,19695183.25,5198.094,1185153.359,318786.549,214452.046,15698041.976
上海叔同深渊科学技术发展基金会,426542.795,426542.795,45000.0,0.0,0.0,1957347.88,1115000.0,0.0,0.0,471973.795,1442429.52,36510.67,1405918.85,0.0,0.0,0.0,-467.155,59006.0,890918.85,431.0,485081.64
上海唐君远教育基金会,19220150.597,19220150.597,919737.419,582525.644,81933.0,194746512.31,2630100.0,4500000.0,516954.8,20795371.153,27333835.595,19621209.951,7130100.0,0.0,0.0,2626100.0,-137922.355,1631209.911,4504000.0,138528.337,20795371.153
上海夏征农民族文化教育发展基金会,5251407.114,5251407.114,-4713.93,0.0,389.379,2812390.334,3720820.954,1534649.475,136411.78,5493360.871,5297045.095,41574.666,5255470.429,0.0,0.0,3720820.954,-5103.309,246667.687,1534649.475,110255.907,5493360.871
上海大学教育发展基金会,424457.45,424457.45,225.0,14014.217,234.15,5572841.792,2686517.505,500000.0,0.0,434227.45,3800531.722,0.0,3786517.505,0.0,0.0,3101800.0,0.0,9545.0,84717.505,9545.0,434236.6
上海宋庆龄基金会,40368844.898,40368844.898,0.0,864216.273,0.0,551088965.79,44691839.472,2429740.785,1682112.28,44228153.254,73778020.525,25792223.995,47121580.257,0.0,0.0,33810859.346,0.0,3859308.356,13310720.911,2177196.076,44228153.254
