基金会名称,净资产,总支出,总收入,费用合计,label
万科公益基金会,409616414,69561312.8,146153359.3,69561312.8,6
上海乐三兰馨教育发展基金会,2001179.4,1998820.6,2000000,1998820.6,1
上海交响乐团文化发展基金会,213388002.6,15088338.32,46241156.85,15088338.32,6
上海交通大学教育发展基金会,2473122842,417867670.9,839521841,417867670.9,6
上海仁德基金会,19465069.3,8434265.32,11298307.92,8434265.32,7
上海医学创新发展基金会,11568857.36,40312420.87,43224767.74,40988855.63,8
上海华信公益基金会,98996904.14,50084926.07,73661035.27,50084926.07,7
上海叔同深渊科学技术发展基金会,4714695.76,943947.59,3684859.04,970163.28,3
上海唐君远教育基金会,572754013.7,59841240.29,74419939.2,59841240.29,2
上海夏征农民族文化教育发展基金会,8772276.26,16528726.18,16091635.73,16528726.18,8
上海大学教育发展基金会,12910920.92,1076454.9,9574312.98,1076485.4,3
上海宋庆龄基金会,1627029244,130977948.8,207988144.7,130977948.8,2
上海工商界爱国建设特种基金会,614412220.5,22360624.62,32523546.27,22360624.62,2
上海市儿童基金会,89590136.89,20651660.68,38464247.86,20651660.68,0
上海市华侨事业发展基金会,35176361.85,43459239.88,54618395.11,44252471.03,1
上海市拥军优属基金会,2114934141,150616563,350464741.7,150616563,2
上海市防癌抗癌事业发展基金会,26410498.3,1742788.2,1940890.51,1465102.76,2
上海市青少年发展基金会,413938405.8,61618782.13,196694299.2,61618782.13,4
上海思麦公益基金会,6995711.19,3876267.96,4650457.81,3878502.95,5
上海恩德公益基金会,16053483.91,2087711.1,4328848.07,2071760.58,6
上海慈慧公益基金会,38699073.22,26280954.67,37102788.11,26280955.17,1
上海明德公益基金会,5883190.33,1074468.36,1203267.86,946727.74,6
上海民建扶帮公益基金会,47355586.05,13116365.86,19634495.6,13123745.37,0
上海民生艺术基金会,2492138097,238216011.1,570217308.9,238215219.1,6
上海汤臣慈善基金会,8763732.36,1285257.9,2856148.91,1292517.9,6
上海海事大学教育发展基金会,19042239.06,3046364.11,9370914.85,3046364.11,4
上海特殊关爱基金会,38594993.87,10376286.11,11536218.79,10376286.11,0
上海王正国创伤医学发展基金会,4138008.35,2800785.25,4938793.6,2800785.25,1
上海瑞华慈善基金会,23975989.09,2885948.1,24858910.29,2885948.1,3
上海科技大学教育发展基金会,27225169.55,820125.06,18045294.61,820125.06,4
上海联劝公益基金会,74556666.55,87984610.1,109322012.6,87984610.1,1
上海联和新泰战略研究与发展基金会,385774548.7,17600706.76,104797653.1,12320380.96,6
上海能近公益基金会,9490732.4,2003086.11,3000019.32,2003086.11,6
上海至美公益基金会,18941900.9,1086615.5,10028516.4,1086615.5,4
上海荣昶公益基金会,40081171.09,3031059.49,23215200.52,3031059.49,4
上海觉群文教基金会,18022768.83,3900597.92,21923366.75,3900597.92,3
上海诺亚公益基金会,29593189.55,4859215.94,19537874.23,4859215.94,4
东台市阳光助残基金会,15858105.71,10204791.3,10445486.16,10204791.3,5
东润公益基金会,46819905.95,3643734.83,463640.78,3643734.83,2
东莞市东莞理工学院教育发展基金会,215774772.7,12719551.84,18991743.91,12761823.13,2
东风公益基金会,170028911.5,60233472.4,66994395.69,64239752.4,0
中兴通讯公益基金会,150045897.3,13090333.71,63173298.36,13090333.71,4
中华健康快车基金会,202426460.2,96421421.55,122778026.5,92072885.79,7
中华国际科学交流基金会,25236565.27,29063584.09,30242516.65,29063584.09,1
中华少年儿童慈善救助基金会,325770957.4,317213040.6,374720804.1,316413652,1
中华思源工程扶贫基金会,480053186.6,450546450.1,502633059.5,448979056.8,1
中华环境保护基金会,427454742.6,198981133.1,216839418.3,199102168.7,5
中华社会救助基金会,184626656,176992474.2,261094396.6,174276269,1
中华社会文化发展基金会,104009199.3,62946736.32,82669920.69,62946736.32,5
中南大学教育基金会,750538164.2,62473831.33,219477628.7,62486340.83,6
中南财经政法大学教育发展基金会,62931666.35,6484203.7,9968219.93,6484203.7,6
中国交响乐发展基金会,17737984.19,12282324.47,8181103.76,11645697.99,5
中国人寿慈善基金会,396873292.1,104848352.9,117543040,104848352.9,0
中国健康促进基金会,242868043.9,240197142.2,304674670.9,240112011.8,1
中国儿童少年基金会,1399020932,1007849966,1089727357,1007849966,5
中国光华科技基金会,2097291119,1916432366,1991383513,1916432366,1
中国光彩事业基金会,819316533.4,431075445,485776188.9,431075445,5
中国关心下一代健康体育基金会,31013738.99,18778799.55,17749921.78,18784341.09,5
中国农业大学教育基金会,194727369.1,45010046.57,90128774.16,45010046.57,4
中国初级卫生保健基金会,456707944.6,873712163.1,1175339427,873712163.1,8
中国医药卫生事业发展基金会,286028793.8,75269463.67,37397680.89,75269463.67,6
中国华侨公益基金会,330711087.4,210855272.2,242488378,210855272.2,5
中国华夏文化遗产基金会,78462694.38,23007382.57,31212442.42,22471212.61,0
中国华文教育基金会,207662655.5,136548700.6,135314943.1,136729386,5
中国发展研究基金会,696287646.2,189778518.4,258362738.7,187096330.4,0
中国古生物化石保护基金会,45086566.8,22764942.5,18741967,22201660.91,5
中国听力医学发展基金会,38125341.55,16838724.3,14651356.38,16673959.3,0
中国国际文化交流基金会,148598139.3,55159814.5,50831204.77,55441778.1,0
中国地质大学（武汉）教育发展基金会,128668580.5,13310593.64,15056875.62,13310593.64,2
中国妇女发展基金会,1204831636,1440460299,1461761413,1440460299,1
中国宋庆龄基金会,992528130.5,347543530.3,391343301.7,506379780.1,0
中国少年儿童文化艺术基金会,52172494.48,25009472.14,39576648.8,25010964.61,7
中国少数民族文化艺术基金会,30940249.98,46252921.52,47232531.68,46259285.17,8
中国志愿服务基金会,286459517.1,116149846.2,107230253.7,116149846.2,0
中国扶贫基金会,2673924005,1183843511,1749841780,1177424834,7
中国教师发展基金会,132751735.7,66197374.4,62876363.54,66197374.4,5
中国教育发展基金会,1266919077,4042754297,3303900417,4042754297,8
中国残疾人福利基金会,2407568458,1229011524,1286433314,1224091931,5
中国民航科普基金会,171069155.3,25021252.59,26308681.62,25021252.59,6
中国法律援助基金会,472664294.7,396587872.1,289859340.8,394997805.1,9
中国海油海洋环境与生态保护公益基金会,1631706279,270937518.8,329582784.2,270937518.8,6
中国留学人才发展基金会,97522139.48,135845368,133000437.1,135963787,8
中国癌症基金会,1927641474,6264622938,6828251586,6262907175,8
中国社会福利基金会,710490340.7,574312285.3,724382479,565979961.9,1
中国禁毒基金会,326317347.4,47508781.12,78297440.12,47508781.12,6
中国科学技术大学教育基金会,740301556.4,39085715.79,133208100.2,63652353.79,6
中国移动慈善基金会,303027283.8,114948396,113074452.5,114948396,0
中国红十字基金会,1505831271,907930117.5,864860159.6,908258262.8,5
中国经济改革研究基金会,121678935.4,15588422.11,34443561.48,15572744.52,6
中国绿化基金会,631388234.8,239590452.7,244635093.2,239158322.9,0
中国绿色碳汇基金会,514194047.2,310942861.8,291433673.5,310733758.5,5
中国老龄事业发展基金会,426193837.7,176715949.5,259848104.2,176760668.8,7
