,0
爱佑慈善基金会,0
北京大学教育基金会,1
北京交通大学教育基金会,2
传媒大学教育基金会,3
海仓慈善基金会,4
华民慈善基金会,5
华润慈善基金会,6
凯风公益基金会,7
李四光地质科学奖基金会,8
南都公益基金会,9
人保慈善基金会,10
清华大学教育基金会,11
桃源居公益事业发展基金会,12
王振滔慈善基金会,13
吴阶平医学基金会,14
吴作人国际美术基金会,15
香江社会救助基金会,16
友成企业家扶贫基金会,17
中国癌症基金会,18
中国红十字基金会,19
中华国际科学交流基金会,20
中国禁毒基金会,21
中国发展研究基金会,22
中国马克思主义研究基金会,23
宝钢教育基金会,24
慈济慈善事业基金会,25
华阳慈善基金会,26
浙江大学教育基金会,27
中国听力医学发展基金会,28
青岛市残疾儿童医疗康复基金会,29
中华社会文化发展基金会,30
中国法律援助基金会,31
中国华侨公益基金会,32
招商局慈善基金会,33
山东省儿童少年福利基金会,34
山东省老龄事业发展基金会,35
中国残疾人福利基金会,36
中国初级卫生保健基金会,37
中国儿童少年基金会,38
中国扶贫基金会,39
中国妇女发展基金会,40
中国古生物化石保护基金会,41
山东省彩虹援助基金会,42
中国关心下一代健康体育基金会,43
中国光彩事业基金会,44
中国光华科技基金会,45
中国国际文化交流基金会,46
中国华文教育基金会,47
中国华夏文化遗产基金会,48
安徽省儿童少年基金会,49
安徽省中小学幼儿教师奖励基金会,50
中国健康促进基金会,51
安徽天徽慈善基金会,52
中国交响乐发展基金会,53
中国教师发展基金会,54
中国科学技术大学教育基金会,55
中国教育发展基金会,56
温州市永乐科技奖励医疗救助基金会,57
杭州市关爱孤儿基金会,58
浙江省发展侨务事业基金会,59
中国金融教育发展基金会,60
浙江省网易慈善基金会,61
中国老龄事业发展基金会,62
中国留学人才发展基金会,63
中国绿化基金会,64
中国民航科普基金会,65
中国农业大学教育基金会,66
中国青少年发展基金会,67
中国人寿慈善基金会,68
中国少年儿童文化艺术基金会,69
中国少数民族文化艺术基金会,70
中国社会福利基金会,71
中国宋庆龄基金会,72
中国医药卫生事业发展基金会,73
中国移动慈善基金会,74
中国艺术节基金会,75
浙江省扶贫基金会,76
中国志愿服务基金会,77
中华环境保护基金会,78
中华健康快车基金会,79
中华少年儿童慈善救助基金会,80
中华社会救助基金会,81
中华思源工程扶贫基金会,82
中央财经大学教育基金会,83
中远海运慈善基金会,84
周培源基金会,85
北京中艺艺术基金会,86
北京新阳光慈善基金会,87
北京华亚艺术基金会,88
北京友好传承文化基金会,89
北京市企业家环保基金会,90
杭州市送温暖工程基金会,91
北京协和医学基金会,92
浙江正泰公益基金会,93
北京万通公益基金会,94
浙江省老年事业发展基金会,95
浙江省娃哈哈慈善基金会,96
浙江永强慈善基金会,97
杭州市老龄事业发展基金会,98
桐庐县老龄事业发展基金会,99
北京水源保护基金会,100
福建海西青年创业基金会,101
福建集美大学教育发展基金会,102
福建农林大学教育发展基金会,103
北京市鸿儒金融教育基金会,104
北京市仁爱慈善基金会,105
福建省黄仲咸教育基金会,106
北京科技大学教育发展基金会,107
北京市西部阳光农村发展基金会,108
福建省潘振东教育基金会,109
北京市希望公益基金会,110
福建省石竹慈善基金会,111
福州大学教育发展基金会,112
北京文化发展基金会,113
林则徐基金会,114
北京市美疆助学基金会,115
厦门中山医院基金会,116
北京光华慈善基金会,117
北京市搜候中国城市文化基金会,118
北京市中国人民大学教育基金会,119
福建省扶贫基金会,120
福建省发展体育事业基金会,121
福建省妇女儿童发展基金会,122
闽都中小银行教育发展基金会,123
福建省龙岩扶贫基金会,124
上海工商界爱国建设特种基金会,125
上海唐君远教育基金会,126
北京市戏曲艺术发展基金会,127
上海联和新泰战略研究与发展基金会,128
北京绿化基金会,129
上海交通大学教育发展基金会,130
北京工业大学教育基金会,131
北京青少年发展基金会,132
上海市防癌抗癌事业发展基金会,133
上海能近公益基金会,134
上海特殊关爱基金会,135
北京节能与电力技术开发基金会,136
上海夏征农民族文化教育发展基金会,137
北京妇女儿童发展基金会,138
上海联劝公益基金会,139
北京市长江科技扶贫基金会,140
上海民建扶帮公益基金会,141
北京世纪慈善基金会,142
北京工商大学教育基金会,143
上海市拥军优属基金会,144
上海宋庆龄基金会,145
上海市华侨事业发展基金会,146
上海市儿童基金会,147
上海市青少年发展基金会,148
上海交响乐团文化发展基金会,149
爱德基金会,150
江苏长江平民教育基金会,151
常熟理工学院教育发展基金会,152
常州工程职业技术学院教育发展基金会,153
河北省红十字基金会,154
江苏昌明教育基金会,155
江苏海澜教育发展基金会,156
江苏宏大青少年人才发展基金会,157
江苏华夏慈善基金会,158
山西省创业就业基金会,159
江苏省儿童少年福利基金会,160
江苏省扶贫基金会,161
江苏省青少年发展基金会,162
天津市鹤童老年公益基金会,163
天津中国民航大学教育发展基金会,164
天津市宏志教育基金会,165
天津市滨海社会救助基金会,166
天津市妇女儿童发展基金会,167
江苏陶欣伯助学基金会,168
天津市人口福利基金会,169
刘天华阿炳中国民族音乐基金会,170
南京大学教育发展基金会,171
南京工业大学教育发展基金会,172
南京金鹰国际慈济基金会,173
包头市扶贫基金会,174
科左后旗扶贫助学基金会,175
老牛基金会,176
南京市中小学幼儿教师奖励基金会,177
南京信息大学教育发展基金会,178
南通市爱心帮困基金会,179
内蒙古民族青年文化艺术基金会,180
内蒙古青年创业就业基金会,181
内蒙古云曙碧公益事业基金会,182
内蒙古自治区儿童基金会,183
无锡灵山慈善基金会,184
盐城市扶贫基金会,185
张家港市农联爱心基金会,186
江苏宏德文化出版基金会,187
江苏七彩凤凰母语发展基金会,188
江苏沙钢公益基金会,189
江苏省关心下一代基金会,190
江苏中大公益基金会,191
南京新城市慈善基金会,192
扬州市翔宇妇女儿童基金会,193
黑龙江省妇女儿童基金会,194
南航“十分”关爱基金会,195
腾讯公益慈善基金会,196
万科公益基金会,197
广西荣和爱心基金会,198
广西桂嘉汇青少年儿童救助基金会,199
黑龙江省华侨经济文化基金会,200
广西李宁基金会,201
广西国海扶贫助学基金会,202
哈尔滨市老年基金会,203
广西壮族自治区扶贫基金会,204
广西妇女儿童发展基金会,205
海南改革发展研究基金会,206
海南省李惠智教育基金会,207
辽宁爱之光防盲基金会,208
广东省中山大学教育发展基金会,209
沈阳市职工爱心慈善基金会,210
广东省扶贫基金会,211
深圳市青少年发展基金会,212
广州市青少年发展基金会,213
辽宁省妇女儿童基金会,214
广州市南山自然科学学术交流基金会,215
吉林师范大学助学基金会,216
广州市职工济难基金会,217
深圳市警察基金会,218
广东省人口基金会,219
广东省合生珠江教育发展基金会,220
广东省环境保护基金会,221
广州市振兴粤剧基金会,222
吉林大学教育基金会,223
梅州市希望教育基金会,224
广东省教育基金会,225
陕西省老龄事业发展基金会,226
深圳市绿色基金会,227
延安教科文发展基金会,228
陕西省西安市老龄事业发展基金会,229
深圳市老龄事业发展基金会,230
东莞市东莞理工学院教育发展基金会,231
广东省志愿者事业发展基金会,232
深圳市综研软科学发展基金会,233
陕西纯山教育基金会,234
广州市禁毒基金会,235
广东省豪爵慈善基金会,236
广东省华南理工大学教育发展基金会,237
陕西省红十字基金会,238
陕西妇女儿童发展基金会,239
广东省华美教育慈善基金会,240
