name,target
上海市青少年发展基金会,上海市
上海恩德公益基金会,上海市
上海瑞华慈善基金会,上海市
宝钢教育基金会,上海市
上海大学教育发展基金会,上海市
上海工商界爱国建设特种基金会,上海市
上海唐君远教育基金会,上海市
上海联和新泰战略研究与发展基金会,上海市
上海市防癌抗癌事业发展基金会,上海市
上海能近公益基金会,上海市
上海市拥军优属基金会,上海市
上海市华侨事业发展基金会,上海市
上海市儿童基金会,上海市
上海交响乐团文化发展基金会,上海市
上海华信公益基金会,上海市
上海荣昶公益基金会,上海市
上海夏征农民族文化教育发展基金会,上海市
上海乐三兰馨教育发展基金会,上海市
上海觉群文教基金会,上海市
上海诺亚公益基金会,上海市
巨人慈善基金会,上海市
上海民生艺术基金会,上海市
上海仁德基金会,上海市
上海汤臣慈善基金会,上海市
上海海事大学教育发展基金会,上海市
江苏昌明教育基金会,上海市
增爱公益基金会,上海市
上海特殊关爱基金会,上海市
黄奕聪慈善基金会,上海市
上海交通大学教育发展基金会,上海市
上海明德公益基金会,上海市
上海思麦公益基金会,上海市
上海宋庆龄基金会,上海市
上海联劝公益基金会,上海市
上海民建扶帮公益基金会,上海市
上海慈慧公益基金会,上海市
上海医学创新发展基金会,上海市
上海叔同深渊科学技术发展基金会,上海市
上海至美公益基金会,上海市
上海王正国创伤医学发展基金会,上海市
上海科技大学教育发展基金会,上海市
云南华商公益基金会,云南省
云南省绿色环境发展基金会,云南省
云南大益爱心基金会,云南省
云南省俊发教育扶贫基金会,云南省
云南君仁博爱基金会,云南省
云南民族文化发展基金会,云南省
云南教育基金会,云南省
云南省青年创业就业基金会,云南省
云南省扶贫基金会,云南省
云南省关心下一代基金会,云南省
云南省妇女儿童发展基金会,云南省
包头市扶贫基金会,内蒙古自治区
呼伦贝尔市扶贫基金会,内蒙古自治区
老牛基金会,内蒙古自治区
内蒙古光彩事业基金会,内蒙古自治区
内蒙古云曙碧公益事业基金会,内蒙古自治区
内蒙古民族青年文化艺术基金会,内蒙古自治区
内蒙古青年创业就业基金会,内蒙古自治区
内蒙古自治区儿童基金会,内蒙古自治区
内蒙古乌拉特后旗盛安爱心济困基金会,内蒙古自治区
科左后旗扶贫助学基金会,内蒙古自治区
阿拉善生态基金会,内蒙古自治区
爱佑慈善基金会,北京市
北京大学教育基金会,北京市
海仓慈善基金会,北京市
华民慈善基金会,北京市
中国红十字基金会,北京市
中国禁毒基金会,北京市
中国发展研究基金会,北京市
中华社会文化发展基金会,北京市
中国华侨公益基金会,北京市
中国残疾人福利基金会,北京市
中国初级卫生保健基金会,北京市
中国儿童少年基金会,北京市
中国妇女发展基金会,北京市
中国光华科技基金会,北京市
中国华夏文化遗产基金会,北京市
中国留学人才发展基金会,北京市
中国绿化基金会,北京市
中国少年儿童文化艺术基金会,北京市
中国艺术节基金会,北京市
中国志愿服务基金会,北京市
中华环境保护基金会,北京市
中华健康快车基金会,北京市
北京协和医学基金会,北京市
北京光华慈善基金会,北京市
中国绿色碳汇基金会,北京市
神华公益基金会,北京市
泛海公益基金会,北京市
顶新公益基金会,北京市
北京中国国家博物馆事业发展基金会,北京市
安利公益基金会,北京市
四川桃花源生态保护基金会,北京市
中国海油海洋环境与生态保护公益基金会,北京市
北京永青农村发展基金会,北京市
北京三一公益基金会,北京市
北京老牛兄妹公益基金会,北京市
中国健康促进基金会,北京市
北京市仁爱慈善基金会,北京市
北京市希望公益基金会,北京市
北京瑞普华老年救助基金会,北京市
北京京安公益基金会,北京市
北京怡海公益基金会,北京市
北京天使妈妈慈善基金会,北京市
北京京东公益基金会,北京市
中国法律援助基金会,北京市
北京世纪慈善基金会,北京市
北京市永源公益基金会,北京市
北京中国石油大学教育基金会,北京市
北京健康长城公益基金会,北京市
传媒大学教育基金会,北京市
凯风公益基金会,北京市
南都公益基金会,北京市
吴阶平医学基金会,北京市
友成企业家扶贫基金会,北京市
中国癌症基金会,北京市
中国国际文化交流基金会,北京市
中国老龄事业发展基金会,北京市
中国民航科普基金会,北京市
中国青少年发展基金会,北京市
中国少数民族文化艺术基金会,北京市
中国医药卫生事业发展基金会,北京市
中华社会救助基金会,北京市
中华思源工程扶贫基金会,北京市
周培源基金会,北京市
北京中艺艺术基金会,北京市
北京市企业家环保基金会,北京市
北京万通公益基金会,北京市
北京水源保护基金会,北京市
北京市搜候中国城市文化基金会,北京市
北京市戏曲艺术发展基金会,北京市
北京工业大学教育基金会,北京市
北京妇女儿童发展基金会,北京市
北京康盟慈善基金会,北京市
北京民生文化艺术基金会,北京市
北京利星行慈善基金会,北京市
北京京华公益事业基金会,北京市
北京华彬文化基金会,北京市
北京中金公益基金会,北京市
北京市阳光保险爱心基金会,北京市
北京市壹嘉壹慈善基金会,北京市
北京凌盛爱心公益基金会,北京市
北京永真公益基金会,北京市
北京萤火虫爱心公益基金会,北京市
北京彩虹公益基金会,北京市
北京阳光未来艺术教育基金会,北京市
北京市银杏公益基金会,北京市
北京麦田慈善基金会,北京市
东润公益基金会,北京市
北京交通大学教育基金会,北京市
人保慈善基金会,北京市
清华大学教育基金会,北京市
吴作人国际美术基金会,北京市
中国马克思主义研究基金会,北京市
中国听力医学发展基金会,北京市
中国扶贫基金会,北京市
中国关心下一代健康体育基金会,北京市
中国农业大学教育基金会,北京市
中央财经大学教育基金会,北京市
北京新阳光慈善基金会,北京市
北京华亚艺术基金会,北京市
北京友好传承文化基金会,北京市
北京市鸿儒金融教育基金会,北京市
北京科技大学教育发展基金会,北京市
北京市西部阳光农村发展基金会,北京市
北京市中国人民大学教育基金会,北京市
北京市长江科技扶贫基金会,北京市
北京工商大学教育基金会,北京市
中国经济改革研究基金会,北京市
北京中央民族大学教育基金会,北京市
北京百度公益基金会,北京市
北京爱它动物保护公益基金会,北京市
北京市戈友公益援助基金会,北京市
首都师范大学教育基金会,北京市
北京启明星辰慈善公益基金会,北京市
北京电影学院教育基金会,北京市
北京中国青年政治学院教育基金会,北京市
北京联想控股公益基金会,北京市
北京语言大学教育基金会,北京市
北京白求恩公益基金会,北京市
李四光地质科学奖基金会,北京市
中华国际科学交流基金会,北京市
中国古生物化石保护基金会,北京市
中国光彩事业基金会,北京市
中国华文教育基金会,北京市
中国交响乐发展基金会,北京市
中国教师发展基金会,北京市
中国教育发展基金会,北京市
中国金融教育发展基金会,北京市
中国人寿慈善基金会,北京市
中国社会福利基金会,北京市
中国宋庆龄基金会,北京市
中国移动慈善基金会,北京市
中华少年儿童慈善救助基金会,北京市
中远海运慈善基金会,北京市
北京文化发展基金会,北京市
北京市美疆助学基金会,北京市
北京绿化基金会,北京市
北京青少年发展基金会,北京市
北京节能与电力技术开发基金会,北京市
河仁慈善基金会,北京市
北京金融街慈善基金会,北京市
北京中央音乐学院教育基金会,北京市
亿利公益基金会,北京市
北京感恩公益基金会,北京市
鲁迅文化基金会,北京市
北京达理公益基金会,北京市
北京尚善公益基金会,北京市
北京市光明慈善基金会,北京市
北京绿色阳光环保公益基金会,北京市
吉林省康乃尔公益基金会,吉林省
吉林师范大学助学基金会,吉林省
吉林省体育事业发展基金会,吉林省
吉林大学教育基金会,吉林省
长春工程学院教育基金会,吉林省
西昌市关心下一代基金会,四川省
凉山州关心下一代基金会,四川省
四川省索玛慈善基金会,四川省
德阳市关心下一代基金会,四川省
四川电子科技大学教育发展基金会,四川省
四川省国电大渡河爱心帮扶基金会,四川省
四川省体育基金会,四川省
四川成都蓝光助学基金会,四川省
四川喜马拉雅慈善基金会,四川省
成都市老龄事业发展基金会,四川省
四川省青年创业就业基金会,四川省
四川省志愿服务基金会,四川省
攀枝花市关心下一代基金会,四川省
泸州市关心下一代基金会,四川省
绵阳市关心下一代基金会,四川省
四川资阳五月阳光教育基金会,四川省
资阳市关心下一代基金会,四川省
遂宁市关心下一代基金会,四川省
雅安市关心下一代基金会,四川省
天津中国民航大学教育发展基金会,天津市
天津市妇女儿童发展基金会,天津市
天津市人口福利基金会,天津市
天津市宏志教育基金会,天津市
天津市滨海社会救助基金会,天津市
天津市鹤童老年公益基金会,天津市
宁夏回族自治区扶贫基金会,宁夏回族自治区
宁夏麦丽燕基金会,宁夏回族自治区
宁夏回族自治区关心下一代基金会,宁夏回族自治区
宁夏煤炭职工扶贫济困基金会,宁夏回族自治区
宁夏青年创业就业基金会,宁夏回族自治区
安徽李恩三慈善基金会,安徽省
中国科学技术大学教育基金会,安徽省
安徽省体育事业发展基金会,安徽省
安徽金牛公益基金会,安徽省
安徽省中小学幼儿教师奖励基金会,安徽省
安徽天徽慈善基金会,安徽省
安徽省青年创业就业基金会,安徽省
安徽黄山公益基金会,安徽省
安徽道德建设基金会,安徽省
安徽省儿童少年基金会,安徽省
安徽韩再芬黄梅艺术基金会,安徽省
芜湖市爱心助学基金会,安徽省
山东省友芳公益基金会,山东省
山东省儿童少年福利基金会,山东省
山东省老龄事业发展基金会,山东省
山东省彩虹援助基金会,山东省
山东省青年创业就业基金会,山东省
山东省体育基金会,山东省
济南大学教育发展基金会,山东省
山东英才学院教育发展基金会,山东省
山东省普觉公益基金会,山东省
青岛农业大学教育发展基金会,山东省
青岛市天泰公益基金会,山东省
山东省中国海洋大学教育基金会,山东省
青岛市残疾儿童医疗康复基金会,山东省
青岛大学教育发展基金会,山东省
山西省创业就业基金会,山东省
山西省妇女儿童发展基金会,山东省
东莞市东莞理工学院教育发展基金会,广东省
广东省鸿发慈善基金会,广东省
广东省何享健慈善基金会,广东省
广东省崇善乐慈善基金会,广东省
广东省一心公益基金会,广东省
南航“十分”关爱基金会,广东省
广东省环境保护基金会,广东省
广东省华南理工大学教育发展基金会,广东省
广东省华美教育慈善基金会,广东省
广东省消防救助基金会,广东省
广东省华南农业大学教育发展基金会,广东省
广东省山海源慈善基金会,广东省
思利及人公益基金会,广东省
广东省尚东公益基金会,广东省
广州农商银行太阳公益基金会,广东省
广东省同心圆慈善基金会,广东省
广东省中山大学教育发展基金会,广东省
广东省合生珠江教育发展基金会,广东省
广东省利海绿色基金会,广东省
广东省千禾社区公益基金会,广东省
广东省卓越慈善基金会,广东省
广东省保利地产和谐文化基金会,广东省
香江社会救助基金会,广东省
广东省广州中医药大学教育发展基金会,广东省
广东省华商慈善基金会,广东省
广东省广东外语外贸大学教育发展基金会,广东省
广东省麦田教育基金会,广东省
广东省明德幸福文化教育基金会,广东省
广东省丹姿慈善基金会,广东省
广东省广铝公益基金会,广东省
广东省东风日产阳光关爱基金会,广东省
广州市振兴粤剧基金会,广东省
广东省唯品会慈善基金会,广东省
广东省广雅教育发展基金会,广东省
广东省烛光教育发展基金会,广东省
广东省扶贫基金会,广东省
广州市青少年发展基金会,广东省
广州市南山自然科学学术交流基金会,广东省
广州市职工济难基金会,广东省
广东省人口基金会,广东省
广东省教育基金会,广东省
广东省志愿者事业发展基金会,广东省
广州市禁毒基金会,广东省
广东省妇女儿童基金会,广东省
广东省春桃慈善基金会,广东省
广州市羊城志愿服务基金会,广东省
广东省环球公益基金会,广东省
广东省方圆公益基金会,广东省
广东省执信教育发展基金会,广东省
广东省财新公益基金会,广东省
广东省谢汉才慈善基金会,广东省
广东省南方阅读公益基金会,广东省
广东省慧灵智障人士扶助基金会,广东省
广东省惠民慈善基金会,广东省
惠州市协和医疗救助基金会,广东省
梅州市希望教育基金会,广东省
广东省豪爵慈善基金会,广东省
招商局慈善基金会,广东省
腾讯公益慈善基金会,广东省
深圳市雅昌艺术基金会,广东省
深圳市TCL公益基金会,广东省
中兴通讯公益基金会,广东省
深圳市绿色低碳发展基金会,广东省
深圳市精锐教育基金会,广东省
深圳市石门坎教育公益基金会,广东省
桃源居公益事业发展基金会,广东省
深圳市朱树豪纪念慈善基金会,广东省
深圳市欣旺达慈善基金会,广东省
万科公益基金会,广东省
深圳壹基金公益基金会,广东省
深圳市青少年发展基金会,广东省
深圳市绿色基金会,广东省
广东省绿景慈善基金会,广东省
深圳市博时慈善基金会,广东省
深圳市郑卫宁慈善基金会,广东省
广东省潮商公益基金会,广东省
深圳市红树林湿地保护基金会,广东省
深圳市志愿服务基金会,广东省
顺丰公益基金会,广东省
深圳市荣超公益基金会,广东省
华润慈善基金会,广东省
深圳市警察基金会,广东省
深圳市老龄事业发展基金会,广东省
深圳市综研软科学发展基金会,广东省
