name,paiming,score,target
爱佑慈善基金会,1,100,2
北京大学教育基金会,19,93.6,2
北京交通大学教育基金会,1,100,2
传媒大学教育基金会,190,64,1
海仓慈善基金会,710,11.2,0
华民慈善基金会,1,100,2
华润慈善基金会,1,100,2
凯风公益基金会,133,72.4,2
李四光地质科学奖基金会,220,60.09,1
南都公益基金会,1,100,2
人保慈善基金会,258,56,1
清华大学教育基金会,64,81.2,2
桃源居公益事业发展基金会,1,100,2
王振滔慈善基金会,126,73.2,2
吴阶平医学基金会,66,80.8,2
吴作人国际美术基金会,1,100,2
香江社会救助基金会,165,68.28,1
友成企业家扶贫基金会,1,100,2
中国癌症基金会,126,73.2,2
中国红十字基金会,1,100,2
中华国际科学交流基金会,190,64,1
中国禁毒基金会,284,54.4,1
中国发展研究基金会,4,98.8,2
中国马克思主义研究基金会,25,91.6,2
宝钢教育基金会,184,64.8,1
慈济慈善事业基金会,1,100,2
华阳慈善基金会,364,48.8,1
浙江大学教育基金会,1,100,2
中国听力医学发展基金会,33,89.6,2
青岛市残疾儿童医疗康复基金会,348,49.6,1
中华社会文化发展基金会,164,68.4,1
中国法律援助基金会,128,72.8,2
中国华侨公益基金会,10,96.4,2
招商局慈善基金会,1,100,2
山东省儿童少年福利基金会,239,57.6,1
山东省老龄事业发展基金会,640,27.6,0
中国残疾人福利基金会,1,100,2
中国初级卫生保健基金会,1,100,2
中国儿童少年基金会,1,100,2
中国扶贫基金会,1,100,2
中国妇女发展基金会,1,100,2
中国古生物化石保护基金会,1,100,2
山东省彩虹援助基金会,364,48.8,1
中国关心下一代健康体育基金会,180,65.6,1
中国光彩事业基金会,158,69.2,1
中国光华科技基金会,1,100,2
中国国际文化交流基金会,25,91.6,2
中国华文教育基金会,160,68.8,1
中国华夏文化遗产基金会,177,66,1
安徽省儿童少年基金会,133,72.4,2
安徽省中小学幼儿教师奖励基金会,202,62.8,1
中国健康促进基金会,403,46.26,1
安徽天徽慈善基金会,721,5.6,0
中国交响乐发展基金会,211,61.41,1
中国教师发展基金会,1,100,2
中国科学技术大学教育基金会,250,56.8,1
中国教育发展基金会,1,100,2
